#chrom	start	end	JSD_bit_	sample size	HMIX_bit_	mC	C	_merge
1	55866	55866	0.0	5	0.722	4	1	left_only
1	91369	91369	0.0	5	0.0	0	6	left_only
1	140005	140005	0.0	5	0.0	0	10	left_only
1	171736	171736	0.0	5	0.0	0	13	left_only
1	1198	1198	0.0	5	0.0	0	4	left_only
1	1229	1229	0.0	5	0.0	0	4	left_only
1	17642	17642	0.0	5	0.684	2	9	left_only
1	56537	56537	0.0	5	1.0	2	2	left_only
1	56546	56546	0.0	5	0.918	2	4	left_only
1	80535	80535	0.0	5	0.0	0	20	left_only
1	80537	80537	0.0	5	0.0	0	20	left_only
1	140417	140417	0.0	5	0.0	0	5	left_only
1	149568	149568	0.0	5	0.0	0	3	left_only
1	61724	61724	0.0	5	0.0	0	6	left_only
1	79418	79418	0.0	5	0.0	0	16	left_only
1	86957	86957	0.0	5	0.0	0	4	left_only
1	86992	86992	0.0	5	0.0	0	8	left_only
1	87001	87001	0.0	5	0.0	0	7	left_only
1	87028	87028	0.0	5	0.0	0	4	left_only
1	87031	87031	0.0	5	0.0	0	4	left_only
1	173042	173042	0.0	5	0.0	0	13	left_only
1	430706	430706	0.0	5	0.0	0	12	left_only
1	431257	431257	0.0	5	0.0	0	7	left_only
1	432096	432096	0.0	5	0.0	0	7	left_only
1	432103	432103	0.0	5	0.0	0	8	left_only
1	432320	432320	0.0	5	0.0	0	10	left_only
1	432322	432322	0.0	5	0.0	0	16	left_only
1	241057	241057	0.0	5	0.0	0	3	left_only
1	241065	241065	0.0	5	0.0	0	3	left_only
1	412055	412055	0.0	5	0.0	0	4	left_only
1	423891	423891	0.0	5	0.0	0	3	left_only
1	423912	423912	0.0	5	0.985	3	4	left_only
1	232628	232628	0.0	5	0.0	0	3	left_only
1	356531	356531	0.0	5	0.0	0	3	left_only
1	372300	372300	0.0	5	0.503	1	8	left_only
1	431757	431757	0.0	5	0.0	0	5	left_only
1	291336	291336	0.0	5	0.0	0	4	left_only
1	437128	437128	0.0	5	0.0	0	8	left_only
1	467560	467560	0.0	5	0.0	0	3	left_only
1	512908	512908	0.0	5	0.985	4	3	left_only
1	552374	552374	0.0	5	0.0	0	8	left_only
1	552408	552408	0.0	5	0.0	0	3	left_only
1	514894	514894	0.0	5	0.0	0	19	left_only
1	518074	518074	0.0	5	0.0	0	20	left_only
1	518511	518511	0.0	5	0.0	0	19	left_only
1	522945	522945	0.0	5	0.0	0	23	left_only
1	522947	522947	0.0	5	0.0	0	22	left_only
1	523025	523025	0.0	5	0.0	0	11	left_only
1	523027	523027	0.0	5	0.0	0	18	left_only
1	523030	523030	0.0	5	0.0	0	11	left_only
1	523032	523032	0.0	5	0.0	0	17	left_only
