"ID","chromosome","location","distance2nearestTSS","nearestTSS.gene_id","nearestTSS","class","JSD_bit_10C","meth_10C","JSD_bit_16C","meth_16C","JSD_bit_22C","meth_22C","context","diff_16_10","diff_22_16","consistent_increase","consistent_decrease"
"1_3621865","1",3621865,-1941,"AT1G10870","AT1G10870.2","intronic",0.745,0.600609756097561,0.779,0.611320754716981,0.803,0.34155098133078,"CHG",0.034,0.024,TRUE,FALSE
"1_4684643","1",4684643,1472,"AT1G13660","AT1G13660.1","intronic",0.721,0.415384615384615,0.74,0.46,0.782,0.395348837209302,"CHG",0.019,0.042,TRUE,FALSE
"1_5667756","1",5667756,-628,"AT1G16560","AT1G16560.2","proximal >500&<=1000bp",0.792,0.648648648648649,0.84,0.526315789473684,0.865,0.622259696458685,"CHG",0.0479999999999999,0.025,TRUE,FALSE
"1_5667796","1",5667796,-588,"AT1G16560","AT1G16560.2","proximal >500&<=1000bp",0.728,0.467987804878049,0.741,0.553542009884679,0.793,0.500385386156929,"CHG",0.013,0.052,TRUE,FALSE
"1_7303093","1",7303093,1460,"AT1G20950","AT1G20950.1","intronic",0.704,0.547123623011016,0.72,0.571830985915493,0.797,0.321388827064322,"CHG",0.016,0.0770000000000001,TRUE,FALSE
"1_8832062","1",8832062,-1183,"AT1G25210","AT1G25210.1","intergenic",0.777,0.373737373737374,0.843,0.333333333333333,0.991,0.555555555555556,"CHG",0.066,0.148,TRUE,FALSE
"1_9373467","1",9373467,287,"AT1G26990","AT1G26990.1","proximal <=500bp",0.732,0.658767772511848,0.788,0.622857142857143,0.854,0.41156914893617,"CHG",0.056,0.066,TRUE,FALSE
"1_10744419","1",10744419,-3842,"AT1G30420","AT1G30420.1","intronic",0.707,0.642156862745098,0.733,0.573099415204678,0.885,0.456336528221512,"CHG",0.026,0.152,TRUE,FALSE
"1_12378280","1",12378280,-1423,"AT1G34042","AT1G34042.1","intergenic",0.761,0.36144578313253,0.784,0.376470588235294,0.821,0.449589245705751,"CHG",0.023,0.0369999999999999,TRUE,FALSE
"1_12751509","1",12751509,-867,"AT1G34842","AT1G34842.1","proximal >500&<=1000bp",0.741,0.350961538461538,0.86,0.475490196078431,0.862,0.369411764705882,"CHG",0.119,0.002,TRUE,FALSE
"1_13206781","1",13206781,1436,"AT1G35670","AT1G35670.1","intronic",0.87,0.419811320754717,0.882,0.454976303317536,0.885,0.544617744822296,"CHG",0.012,0.003,TRUE,FALSE
"1_13786993","1",13786993,-1730,"AT1G36540","AT1G36540.1","transposable_element",0.725,0.459459459459459,0.768,0.285714285714286,0.774,0.364963503649635,"CHG",0.043,0.006,TRUE,FALSE
"1_16742306","1",16742306,3114,"AT1G44050","AT1G44050.1","intergenic",0.73,0.348525469168901,0.738,0.332460732984293,0.812,0.42730874733313,"CHG",0.00800000000000001,0.0740000000000001,TRUE,FALSE
"1_24240376","1",24240376,-1330,"AT1G65270","AT1G65270.1","intronic",0.726,0.485943775100402,0.783,0.478350515463918,0.799,0.309793351302785,"CHG",0.057,0.016,TRUE,FALSE
"1_27230588","1",27230588,-2408,"AT1G72320","AT1G72320.3","intronic",0.805,0.459143968871595,0.814,0.49445324881141,0.85,0.374977034723498,"CHG",0.0089999999999999,0.036,TRUE,FALSE
"1_29902138","1",29902138,-1215,"AT1G79500","AT1G79500.2","intronic",0.74,0.42789598108747,0.752,0.501222493887531,0.779,0.633341791423497,"CHG",0.012,0.027,TRUE,FALSE
"2_3055256","2",3055256,-1940,"AT2G07360","AT2G07360.2","intronic",0.754,0.672566371681416,0.808,0.607142857142857,0.858,0.411914275335997,"CHG",0.054,0.0499999999999999,TRUE,FALSE
"2_3944452","2",3944452,956,"AT2G10270","AT2G10270.1","proximal >500&<=1000bp",0.701,0.296296296296296,0.803,0.580645161290323,0.993,0.547619047619048,"CHG",0.102,0.19,TRUE,FALSE
"2_8614245","2",8614245,1211,"AT2G19940","AT2G19940.2","intronic",0.71,0.286821705426357,0.755,0.290909090909091,0.772,0.296188898094449,"CHG",0.045,0.017,TRUE,FALSE
"2_8994807","2",8994807,1532,"AT2G20900","AT2G20900.1","intergenic",0.751,0.455938697318008,0.768,0.561538461538462,0.782,0.527005768222339,"CHG",0.017,0.014,TRUE,FALSE
"3_801582","3",801582,2082,"AT3G03380","AT3G03380.2","intronic",0.791,0.46551724137931,0.798,0.379032258064516,0.805,0.363731656184486,"CHG",0.00700000000000001,0.00700000000000001,TRUE,FALSE
