"ID","chromosome","location","distance2nearestTSS","nearestTSS.gene_id","nearestTSS","class","JSD_bit_10C","meth_10C","JSD_bit_16C","meth_16C","JSD_bit_22C","meth_22C","context","diff_16_10","diff_22_16","consistent_increase","consistent_decrease"
"1_861611","1",861611,1910,"AT1G03445","AT1G03445.1","intronic",0.771,0.401937046004843,0.74,0.300261096605744,0.705,0.519156736938588,"CHG",-0.031,-0.035,FALSE,TRUE
"1_1370274","1",1370274,1334,"AT1G04850","AT1G04850.1","intronic",0.859,0.378516624040921,0.784,0.296052631578947,0.748,0.260087506076811,"CHG",-0.075,-0.036,FALSE,TRUE
"1_2993676","1",2993676,295,"AT1G09260","AT1G09260.1","proximal <=500bp",0.759,0.486928104575163,0.75,0.467289719626168,0.717,0.454545454545455,"CHG",-0.00900000000000001,-0.033,FALSE,TRUE
"1_6874418","1",6874418,1060,"AT1G19840","AT1G19840.1","intergenic",0.887,0.369047619047619,0.711,0.297872340425532,0.701,0.519116855142703,"CHG",-0.176,-0.01,FALSE,TRUE
"1_7075471","1",7075471,-1148,"AT1G20400","AT1G20400.1","intronic",0.762,0.470588235294118,0.722,0.526315789473684,0.702,0.52991452991453,"CHG",-0.04,-0.02,FALSE,TRUE
"1_7116016","1",7116016,-2315,"AT1G20550","AT1G20550.1","intronic",0.754,0.304672897196262,0.708,0.314031180400891,0.704,0.260786894836917,"CHG",-0.046,-0.004,FALSE,TRUE
"1_11323676","1",11323676,-500,"AT1G31640","AT1G31640.1","proximal <=500bp",0.718,0.431654676258993,0.714,0.396694214876033,0.703,0.290276110444178,"CHG",-0.004,-0.011,FALSE,TRUE
"1_12401696","1",12401696,-587,"AT1G34070","AT1G34070.1","proximal >500&<=1000bp",0.77,0.376068376068376,0.745,0.412987012987013,0.702,0.408421052631579,"CHG",-0.025,-0.043,FALSE,TRUE
"1_13513494","1",13513494,-1070,"AT1G36120","AT1G36120.1","intronic",0.772,0.34375,0.721,0.390625,0.706,0.44568868980963,"CHG",-0.051,-0.015,FALSE,TRUE
"1_13576484","1",13576484,399,"AT1G36190","AT1G36190.1","proximal <=500bp",0.778,0.46875,0.744,0.377777777777778,0.714,0.492081447963801,"CHG",-0.034,-0.03,FALSE,TRUE
"1_14336219","1",14336219,2079,"AT1G38185","AT1G38185.1","intronic",0.801,0.333333333333333,0.752,0.215686274509804,0.711,0.416101694915254,"CHG",-0.049,-0.041,FALSE,TRUE
"1_15699587","1",15699587,1213,"AT1G42045","AT1G42045.1","intronic",0.775,0.51219512195122,0.748,0.569230769230769,0.706,0.567505720823799,"CHG",-0.027,-0.042,FALSE,TRUE
"1_16112407","1",16112407,2094,"AT1G42888","AT1G42888.1","intronic",0.818,0.55,0.774,0.519916142557652,0.77,0.526333222921497,"CHG",-0.0439999999999999,-0.004,FALSE,TRUE
"1_16908380","1",16908380,-1115,"AT1G44770","AT1G44770.2","intronic",0.829,0.417355371900826,0.824,0.360169491525424,0.819,0.440319817247287,"CHG",-0.005,-0.005,FALSE,TRUE
"1_16908480","1",16908480,-1015,"AT1G44770","AT1G44770.2","intronic",0.883,0.345029239766082,0.774,0.290780141843972,0.753,0.351296043656207,"CHG",-0.109,-0.021,FALSE,TRUE
"1_19368588","1",19368588,-501,"AT1G52080","AT1G52080.1","proximal >500&<=1000bp",0.857,0.485915492957746,0.806,0.462121212121212,0.79,0.633122292569144,"CHG",-0.0509999999999999,-0.016,FALSE,TRUE
"1_19966591","1",19966591,1445,"AT1G53490","AT1G53490.2","intronic",0.843,0.379487179487179,0.823,0.384615384615385,0.787,0.580160857908847,"CHG",-0.02,-0.0359999999999999,FALSE,TRUE
"1_21747905","1",21747905,-770,"AT1G58561","AT1G58561.1","proximal >500&<=1000bp",0.762,0.421052631578947,0.718,0.337209302325581,0.702,0.630409356725146,"CHG",-0.044,-0.016,FALSE,TRUE
"1_22167366","1",22167366,-1058,"AT1G60110","AT1G60110.2","intergenic",0.884,0.391959798994975,0.853,0.421052631578947,0.812,0.343839087741527,"CHG",-0.031,-0.0409999999999999,FALSE,TRUE
"1_22566913","1",22566913,2418,"AT1G61210","AT1G61210.1","intronic",0.801,0.378238341968912,0.723,0.369318181818182,0.721,0.272967963992587,"CHG",-0.0780000000000001,-0.002,FALSE,TRUE
"1_24441387","1",24441387,314,"AT1G65720","AT1G65720.1","proximal <=500bp",0.904,0.45531914893617,0.901,0.464285714285714,0.768,0.31400651465798,"CHG",-0.003,-0.133,FALSE,TRUE
"1_25419106","1",25419106,-993,"AT1G67790","AT1G67790.1","proximal >500&<=1000bp",0.777,0.324404761904762,0.771,0.315083798882682,0.741,0.259658454647256,"CHG",-0.006,-0.03,FALSE,TRUE
"1_25632956","1",25632956,-1824,"AT1G68370","AT1G68370.1","intronic",0.845,0.349333333333333,0.783,0.31638418079096,0.77,0.311833834380978,"CHG",-0.062,-0.013,FALSE,TRUE
"2_2170128","2",2170128,-400,"AT2G05752","AT2G05752.1","proximal <=500bp",0.833,0.476673427991886,0.778,0.489021956087824,0.742,0.620631578947368,"CHG",-0.0549999999999999,-0.036,FALSE,TRUE
